Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Phase II - Conjugation of Compounds	16/111	0.000258626161786421	0.00469001173985823	16	0.144144144144144	UGT2B10;NNMT;GGT6;GLYATL1;GSTP1;UGT2B15;GLYAT;GSTZ1;SULT1B1;NAT1;SULT1E1;NAT2;GSTA2;CYP1A2;UGT3A1;UGT2B7
Extracellular Matrix Organization	31/300	0.000331594604068997	0.00592481535211516	31	0.103333333333333	LAMA2;COL14A1;LAMC3;SERPINE1;SDC3;NTN4;THBS1;FBLN5;ADAMTS2;CAPN6;TNN;ADAMTS1;SPOCK3;ITGB8;NCAM1;MMP7;TGFB3;LUM;MMP2;BGN;PCOLCE;ASPN;DCN;MFAP4;ITGAD;CEACAM6;COL4A4;COL8A2;FMOD;KLKB1;ITGA9
Cytokine Signaling in Immune System	64/776	0.00034152383687895	0.00601378930156412	64	0.0824742268041237	CNTFR;EIF4E3;CD80;TAT;IL24;CXCL1;IL1RAP;SLA2;CXCL2;GHR;IGHG4;IGHG1;IL18RAP;MYC;IL13RA2;TRIM22;RAG1;GBP7;MMP2;HGF;IL18;IRAK3;LIFR;FOS;SIGIRR;HCK;IRF4;IL1B;IRF8;CAMK2B;CSF1R;PELI2;FPR1;TNFRSF11B;GATA3;PTGS2;SOCS2;SOCS3;IL1RL1;CCL5;CCL4;CCL3;TNFRSF17;CCL2;HMOX1;S100A12;FYN;NCAM1;CCL19;SNCA;CCR1;EGR1;IL33;TSLP;PTPN13;IL6;CD4;IL8;GSTA2;IL2RB;HLA-DPB1;SAA1;IL7R;IL18R1
Synthesis of Bile Acids and Bile Salts via 24-Hydroxycholesterol	5/13	0.00038110594832348	0.00661491038875755	5	0.384615384615385	CYP39A1;AKR1D1;CYP8B1;SLC27A2;SLC27A5
Histidine Catabolism	4/8	0.000470872202309802	0.00794596841397791	4	0.5	HAL;UROC1;HDC;FTCD
Terminal Pathway of Complement	4/8	0.000470872202309802	0.00794596841397791	4	0.5	C6;C7;C9;C8A
Signaling by Receptor Tyrosine Kinases	47/536	0.000562442527268357	0.00936120096754868	47	0.0876865671641791	CYFIP2;GABRB3;CD274;LAMA2;LAMC3;TGFA;SPINT2;PTN;AREG;THBS1;FLRT2;MYC;NTF3;FYN;FGF23;HGFAC;WASF3;SH3GL2;NTRK2;EGR1;PDGFRA;EGR2;EGR3;GALNT3;HGF;IGF2;CYBB;NRG1;FOS;IGF1;ESR1;EREG;FOSL1;TGFBR3;TIAM1;NCOR1;CXCL12;CILP;NRG4;AXL;COL4A4;ID1;ID4;FOSB;ID3;SPRY2;FGFR2
ECM Proteoglycans	12/76	0.000645519718800048	0.0105987359235413	12	0.157894736842105	LAMA2;TNN;LUM;TGFB3;COL4A4;SERPINE1;BGN;NCAM1;FMOD;ASPN;DCN;ITGA9
Defective B3GALTL Causes PpS	8/38	0.00073733051584828	0.0119447543567421	8	0.210526315789474	SPON1;ADAMTS2;ADAMTS13;ADAMTS1;ADAMTSL3;ADAMTSL2;CFP;THBS1
Binding and Uptake of Ligands by Scavenger Receptors	16/122	0.000756073893815435	0.0120872339603389	16	0.131147540983607	COLEC11;CD163;SCARA5;IGKV1-5;STAB2;HBB;HBA1;MARCO;IGLV3-25;IGLV6-57;IGKC;STAB1;SAA1;MASP1;IGKV3-20;IGLV3-19
