Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
RHO GTPases Activate Formins	29/139	1.20251755633148e-16	9.71852825071533e-15	29	0.20863309352518	ERCC6L;BUB1B;CDCA8;CENPA;AURKB;CDC20;DSN1;NUF2;KNTC1;BUB1;DYNC1I1;PLK1;NDC80;ZWINT;CENPE;KIF18A;CENPF;DIAPH3;CENPH;CENPI;CENPK;BIRC5;CENPM;CENPN;CENPQ;ITGB3BP;SPC24;MAD2L1;SPC25
M Phase	45/372	1.82929564213108e-15	1.30284884737921e-13	45	0.120967741935484	ERCC6L;CDCA5;NCAPG2;CDCA8;NCAPG;BUB1B;SMC4;CENPA;NCAPH;AURKB;LMNB1;CDC20;CCNB2;DSN1;CCNB1;PTTG1;NUF2;CEP72;KNTC1;NEK2;BUB1;DYNC1I1;PLK4;UBE2C;CEP152;PLK1;KIF23;ZWINT;NDC80;CENPE;CENPF;KIF18A;CENPH;CENPI;CENPK;CENPM;BIRC5;CENPN;NCAPD2;KIF20A;CENPQ;SPC24;ITGB3BP;MAD2L1;SPC25
Separation of Sister Chromatids	31/177	1.90517829200559e-15	1.30284884737921e-13	31	0.175141242937853	ERCC6L;CDCA5;BUB1B;CDCA8;CENPA;AURKB;CDC20;DSN1;PTTG1;NUF2;KNTC1;BUB1;DYNC1I1;UBE2C;PLK1;NDC80;ZWINT;CENPE;KIF18A;CENPF;CENPH;CENPI;CENPK;BIRC5;CENPM;CENPN;CENPQ;ITGB3BP;SPC24;MAD2L1;SPC25
Mitotic Anaphase	34/221	4.63747854008049e-15	2.94479887295111e-13	34	0.153846153846154	ERCC6L;CDCA5;CDCA8;BUB1B;CENPA;AURKB;LMNB1;CDC20;CCNB2;DSN1;CCNB1;PTTG1;NUF2;KNTC1;BUB1;DYNC1I1;UBE2C;PLK1;ZWINT;NDC80;CENPE;CENPF;KIF18A;CENPH;CENPI;CENPK;CENPM;BIRC5;CENPN;CENPQ;SPC24;ITGB3BP;MAD2L1;SPC25
Mitotic Metaphase and Anaphase	34/222	5.32425142884605e-15	3.15550634682942e-13	34	0.153153153153153	ERCC6L;CDCA5;CDCA8;BUB1B;CENPA;AURKB;LMNB1;CDC20;CCNB2;DSN1;CCNB1;PTTG1;NUF2;KNTC1;BUB1;DYNC1I1;UBE2C;PLK1;ZWINT;NDC80;CENPE;CENPF;KIF18A;CENPH;CENPI;CENPK;CENPM;BIRC5;CENPN;CENPQ;SPC24;ITGB3BP;MAD2L1;SPC25
Activation of ATR in Response to Replication Stress	14/37	1.39179190097285e-12	7.39171045824989e-11	14	0.378378378378378	RFC3;RFC4;MCM8;MCM10;CDC7;CDC6;CDC25C;CDC25A;DBF4;CHEK1;MCM3;MCM4;MCM6;MCM2
G1 S Transition	23/121	1.4134879391479e-12	7.39171045824989e-11	23	0.190082644628099	PRIM2;RRM2;MCM8;PRIM1;GMNN;CDC7;MCM10;CDC6;LIN9;TYMS;CDC25A;CCNA2;CCNB1;DBF4;CCNE2;CCNE1;POLE2;MCM3;E2F1;MCM4;TK1;MCM6;MCM2
Activation of the Pre-Replicative Complex	13/33	4.82804238724467e-12	2.38451649014473e-10	13	0.393939393939394	PRIM2;MCM8;PRIM1;GMNN;MCM10;CDC7;CDC6;DBF4;POLE2;MCM3;MCM4;MCM6;MCM2
RHO GTPase Effectors	34/291	1.46201801024261e-11	6.84070532160887e-10	34	0.116838487972509	ERCC6L;KIF14;CDCA8;BUB1B;IQGAP3;CENPA;AURKB;CDC20;DSN1;NUF2;SFN;KNTC1;BUB1;DYNC1I1;PLK1;CDC25C;ZWINT;NDC80;CENPE;CENPF;KIF18A;DIAPH3;CENPH;CENPI;PRC1;CENPK;CENPM;BIRC5;CENPN;CENPQ;SPC24;ITGB3BP;MAD2L1;SPC25
S Phase	24/150	2.17499686097113e-11	9.66786104701666e-10	24	0.16	PRIM2;GINS2;FEN1;RFC3;RFC4;UBE2C;MCM8;CDCA5;PRIM1;GMNN;GINS4;ESCO2;CDC6;LIN9;CDC25A;CCNA2;CCNE2;CCNE1;POLE2;MCM3;E2F1;MCM4;MCM6;MCM2
DNA Strand Elongation	12/32	6.46015754025352e-11	2.73480002537399e-09	12	0.375	PRIM2;GINS2;FEN1;RFC3;RFC4;MCM8;PRIM1;GINS4;MCM3;MCM4;MCM6;MCM2
