Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Vascular Transport (GO:0010232)	12/84	0.00159265698256379	0.0257678165305523	12	0.142857142857143	SLC24A3;SLC7A8;SLC1A1;SLC22A1;SLC6A13;SLC1A2;SLC2A3;ABCC9;SLC5A1;SLC4A4;SLC7A2;ABCG2
Protein Homooligomerization (GO:0051260)	17/143	0.00159404989363145	0.0257678165305523	17	0.118881118881119	STEAP4;SCARA5;GLS2;SHMT1;SLC1A2;ITLN1;AQP4;NLRC4;UPB1;GNMT;ALDH1A3;EHD3;TDO2;BASP1;VSIG2;GRIA3;CBR4
Negative Regulation of Apoptotic Process (GO:0043066)	41/475	0.00165360748786047	0.0264591440118149	41	0.0863157894736842	CNTFR;HSPB6;BCL2A1;GSTP1;SERPINE1;FHL2;SEMA3E;GATA3;VTCN1;GLYAT;THBS1;SOCS2;PKHD1;SOCS3;MYC;NTF3;PROK2;CCL2;CD38;SNCA;NTRK2;EGR3;TSLP;TGFB3;SERPINB9;IGF1;TNFRSF10D;NR4A2;HCK;ARHGAP10;SFRP1;IL6;CEACAM6;AXL;IL2RB;HCLS1;SPRY2;ANGPTL4;TEK;ATF5;EVI2B
Bile Acid Biosynthetic Process (GO:0006699)	6/25	0.00166136907961597	0.0264591440118149	6	0.24	CYP39A1;AKR1D1;CYP7B1;CYP8B1;SLC27A2;SLC27A5
Epithelial Cell Development (GO:0002064)	6/25	0.00166136907961597	0.0264591440118149	6	0.24	PKHD1;RAB25;GRHL2;BMP6;EXPH5;BMP5
Positive Regulation of Endocytosis (GO:0045807)	12/85	0.00176650948677047	0.027881395103434	12	0.141176470588235	PTPRC;CCL21;AXL;SERPINE1;SFTPD;IL2RB;PLA2G5;CCL19;FCGR2B;APOA5;MBL2;SNCA
Unsaturated Fatty Acid Metabolic Process (GO:0033559)	9/53	0.00177553691728537	0.027881395103434	9	0.169811320754717	CYP2J2;GSTP1;CYP4F2;CYP4A22;CYP4A11;SCD5;FAAH2;PLA2G4A;ACAA1
Myeloid Leukocyte Differentiation (GO:0002573)	11/74	0.00177654419774432	0.027881395103434	11	0.148648648648649	CSF1R;IL1RL1;IL33;CD4;CAMK4;PDE2A;MT1G;GATA3;CCL19;CBFA2T3;EPHA2
Regulation of Synapse Assembly (GO:0051963)	10/64	0.00193448979973914	0.0299649485689495	10	0.15625	CYFIP2;NLGN4X;CLSTN2;SLITRK2;SLITRK3;SLITRK6;IL1RAP;GPC4;EPHB1;SNCA
Interleukin-10-Mediated Signaling Pathway (GO:0140105)	4/11	0.00195137749187851	0.0299649485689495	4	0.363636363636364	LILRB1;LILRB2;LILRA2;LILRA3
Negative Regulation of Response to Cytokine Stimulus (GO:0060761)	4/11	0.00195137749187851	0.0299649485689495	4	0.363636363636364	SIGIRR;PTPRC;IRAK3;KLF4
Regulation of Dendritic Cell Differentiation (GO:2001198)	4/11	0.00195137749187851	0.0299649485689495	4	0.363636363636364	CLEC12A;LILRB1;LILRB2;FCGR2B
Transport Across Blood-Brain Barrier (GO:0150104)	12/86	0.0019556461948804	0.0299649485689495	12	0.13953488372093	SLC24A3;SLC7A8;SLC1A1;SLC22A1;SLC6A13;SLC1A2;SLC2A3;ABCC9;SLC5A1;SLC4A4;SLC7A2;ABCG2
Regulation of Cell Population Proliferation (GO:0042127)	60/769	0.00196545288232254	0.0299731564554187	60	0.0780234070221066	CNTFR;VIPR1;CXCL1;AREG;ADRA1A;GHR;ADAMTS1;ADORA3;MYC;IL13RA2;CD33;NKX3-1;PDGFRA;CR1;IGFBP3;GLP2R;LDOC1;NRG1;LIFR;CBFA2T3;EREG;ACE2;TIAM1;HCK;SFRP1;CEACAM6;SFRP5;IL1B;AGTR1;HCLS1;ATF5;TSPYL5;ENG;CCL14;CSF1R;TGFA;GATA3;PTN;THBS1;PKHD1;SERTAD1;RAB25;NTF3;IGFBP6;FGF23;WNT2;NTRK2;CCL23;TSLP;TGFB3;IGF2;IGF1;PODN;BMP6;BMP5;FOSL1;IL6;NR4A3;IL7R;FGFR2
NAD Metabolic Process (GO:0019674)	5/18	0.00203038152707845	0.0302711979960339	5	0.277777777777778	HAAO;KYNU;GPD1;CD38;KMO
Positive Regulation of Cell Activation (GO:0050867)	5/18	0.00203038152707845	0.0302711979960339	5	0.277777777777778	PLA2G4A;SVEP1;LILRA2;TLR4;LILRA5
Regulation of Lymphocyte Activation (GO:0051249)	5/18	0.00203038152707845	0.0302711979960339	5	0.277777777777778	CD4;FCRL3;CRTAM;KLRD1;KLRC1
Water Transport (GO:0006833)	5/18	0.00203038152707845	0.0302711979960339	5	0.277777777777778	AQP9;AQP7;AQP4;SLC5A1;CFTR
Positive Regulation of Chemokine Production (GO:0032722)	9/54	0.00203181254721292	0.0302711979960339	9	0.166666666666667	CSF1R;EGR1;IL33;IL6;TSLP;IL1B;IL18;HMOX1;TLR4
Fat-Soluble Vitamin Metabolic Process (GO:0006775)	6/26	0.00206365072286859	0.0303262853956098	6	0.230769230769231	NPC1L1;CYP4F2;RBP1;CYP1A1;LRAT;CYP3A4
