Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Tumor Progression	109/2090	6.32288718668009e-09	2.90105560283404e-06	109	0.0521531100478469	GMNN;BUB1B;MSI1;CDC20;HOXA10;MTBP;PTTG1;CHEK1;NEK2;KPNA2;G6PD;SPINK1;DKK1;CDC25A;MYCN;MSH2;CCNE1;PRR11;NOTCH3;DLX2;CDCA2;IGSF1;HMMR;IQGAP3;CYP27B1;RACGAP1;PODXL;UBD;ZKSCAN3;ECT2;PLK4;FDPS;CHKA;UBE2C;PLK1;HMGA1;CDC7;CDC6;BCL9;KIF18A;LIN28B;AKR1B10;DIAPH3;FASN;DLG5;LCN2;PXMP4;REN;CSPG4;EZH2;FEN1;KIF14;BRCA1;LAMC1;FOXM1;KRT20;CHAF1B;CHAF1A;MDK;PEA15;PBK;DNMT3B;MYBL2;EDIL3;CEP55;MSMB;ABCC4;VWF;MMP9;ETV4;MMP12;MMP11;ASPM;KIFC1;BIRC5;CDH13;TRIM59;MCM2;GUCY2C;COL11A1;AFP;TYMS;HOXD10;AURKB;AURKA;E2F1;KISS1R;SPOCK1;PRAME;CTNNA2;BUB1;CTHRC1;CA12;NQO1;GINS2;CDKN2B;RRM2;SPAG5;CDKN2A;CCL20;ATAD2;SHCBP1;CENPF;RAD51;FAP;SCD;ADM2;CDKN3;MAD2L1
Adenocarcinoma	93/1712	1.49164034103646e-08	6.27359066767583e-06	93	0.0543224299065421	TOP2A;REG1A;KIF14;BUB1B;BRCA1;FOXM1;MKI67;KRT20;ROBO1;HOXA10;PTTG1;EXO1;NUF2;CHEK1;DNMT3B;MAGEA1;PLCE1;CD34;MSMB;GPR39;RNF43;SPINK1;CKAP2;ACSL4;DKK1;MMP9;ETV4;CDC25A;MMP12;CCNA2;SFRP4;MYCN;MSH2;SMO;KIFC1;CCNE1;BIRC5;MCM4;CDH13;ITGA6;MCM2;GUCY2C;NOTCH3;PTGFR;COL11A1;LAMA3;LPL;CAPG;VCX;AFP;TYMS;CENPA;THBS4;AURKB;CYP17A1;AURKA;CYP27B1;DUOX1;CCNB2;PODXL;NEU1;E2F1;GPC3;SPOCK1;SFN;PRAME;IGF2BP3;MAGEC2;ECT2;CSMD1;BUB1;NQO1;CDKN2B;STIL;RRM2;CDKN2A;UBE2C;PLK1;HMGA1;ALOX15B;FANCG;RAD51;AKR1B10;FAP;SCD;FASN;LCN2;S100P;SLC26A3;EZH2;CDKN3;APOBEC3B;MAD2L1
Triple Negative Breast Neoplasms	46/632	3.37988560196886e-08	1.31217558716437e-05	46	0.0727848101265823	TOP2A;SUV39H1;KIF14;MSI1;TTK;THY1;SLC7A11;BRCA1;FOXM1;KRT20;CENPA;CDC20;MTBP;PEA15;CHEK1;NEU1;E2F1;NUSAP1;NEK2;FANCI;NQO1;G6PD;ATAD5;SPAG5;CDKN2A;PLK1;HMGA1;CDC7;ACSL4;DKK1;MMP9;CENPE;ASPM;MELK;RAD51;DIAPH3;P4HA2;FANCD2;FASN;CENPK;LCN2;BIRC5;CDH13;CSPG4;ITGA6;EZH2
Squamous cell carcinoma	98/1876	3.99948547057881e-08	1.44181451214366e-05	98	0.0522388059701493	CHRM3;BUB1B;MSI1;MKI67;HOXA10;PTTG1;CHEK1;MAGEA1;NUSAP1;CKMT1B;PLCE1;OIP5;MAGEA3;TGM3;WDHD1;VCX3A;SPINK1;SPINK5;CDC25C;CDC25A;SFRP4;MSH2;CCNE1;FANCD2;CD109;NOTCH3;BLM;CDCA2;MAGEA12;THY1;HMMR;CCNB2;CCNB1;RACGAP1;PODXL;SFN;MAGEC2;OTX1;ZNF300;UBE2C;PLK1;HMGA1;CDC7;CDC6;TPX2;LIN28B;AKR1B10;FASN;LCN2;HOXD9;EZH2;APOBEC3B;TOP2A;KIF14;BRCA1;FOXM1;KRT20;KIF15;ZIC2;EXO1;MDK;DNMT3B;CD34;MSMB;EGFL6;MMP9;ETV4;LSS;SREBF2;MMP12;MMP11;KIFC1;ITPKA;BIRC5;CDH13;COL11A1;AFP;TYMS;AURKB;AURKA;HIST2H4A;CLN3;E2F1;GPC3;KISS1R;PAK6;PRAME;CSMD1;E2F7;NQO1;CDKN2B;RRM2;CDKN2A;CENPF;RAD51;GSTA4;CDKN3;MAD2L1
Secondary malignant neoplasm of lymph node	73/1271	7.59288139087995e-08	2.55475149198474e-05	73	0.0574350904799371	BUB1B;MSI1;BRCA1;FOXM1;MKI67;KRT20;HOXA10;MTBP;CHAF1A;PTTG1;MDK;CHEK1;DNMT3B;PLCE1;NEK2;KPNA2;CD34;CEP55;TGM3;MSMB;HELLS;GPR39;FOXD2;G6PD;DKK1;MMP9;ETV4;CDC25A;MMP12;MMP11;MYCN;MSH2;CCNE1;BIRC5;CDH13;ITGA6;PRR11;GUCY2C;NOTCH3;COL11A1;LPL;CAPG;THY1;TYMS;AURKB;CYP17A1;AURKA;CCNB1;RACGAP1;UBD;NEU1;ZKSCAN3;E2F1;SFN;SMYD3;MAGEC2;BUB1;CTHRC1;NQO1;RRM2;SPAG5;CDKN2A;UBE2C;HMGA1;TPX2;CENPF;KIF18A;LIN28B;RAD51;LCN2;HOXD9;EZH2;MAD2L1
Colonic Neoplasms	51/778	1.68083020867353e-07	5.30196878948455e-05	51	0.0655526992287918	TOP2A;CHRM3;MKI67;KRT20;MDK;CHEK1;DNMT3B;KPNA2;EDIL3;CEP55;TCF19;ABCC4;G6PD;SPINK1;DKK1;MMP9;MMP12;COL2A1;MSH2;MEP1A;CD109;BIRC5;PLCB1;MCM2;PLA2G1B;LPL;TYMS;CYP17A1;AURKA;CYP27B1;CLN3;CST1;CCNB1;PODXL;ZKSCAN3;IGF2BP1;E2F1;GCNT3;NQO1;FDPS;CHKA;CDKN2A;CCL20;UBE2C;PLK1;BCL9;SCD;TNFSF4;FASN;LCN2;SLC26A3
Malignant neoplasm of ovary	101/2026	2.35311114580647e-07	6.98597173699133e-05	101	0.0498519249753208	CHRM3;REG1A;HDAC11;BUB1B;MSI1;MKI67;HOXA10;CHEK1;MAEL;MAGEA1;NEK2;MAGEA3;WDHD1;HES6;RNF43;SPINK1;VASH2;CDC25C;MAPK8IP2;DKK1;CDC25A;SFRP4;MYCN;MSH2;CCNE2;CCNE1;FANCD2;NOTCH3;BLM;HOXD1;FUT2;ACACA;CYP27B1;BRIP1;CCNB1;NEU1;RPL39L;STIL;CHKA;PLK1;HMGA1;CDC7;FBXO32;NDC80;BCL9;LIN28B;DIAPH3;FASN;LCN2;HOXD9;EZH2;APOBEC3B;TOP2A;FEN1;KIF14;BRCA1;FOXM1;CHAF1A;MDK;PEA15;DNMT3B;MUC13;CD34;CEP55;MSMB;EGFL6;MMP9;ETV4;CCNA2;ASPM;COL2A1;KIFC1;BIRC5;CDH13;BCAT1;DTL;COL11A1;TYMS;HOXD10;AURKB;CYP17A1;AURKA;IGF2BP1;E2F1;GPC3;E2F2;RAD54L;IGF2BP3;E2F8;CCL25;NQO1;POLQ;CDKN2B;RRM2;ATAD5;CDKN2A;RAD51;FAP;SCD;CDKN3;MAD2L1
Malignant lymphoma, lymphocytic, intermediate differentiation, diffuse	30/349	2.81490201736113e-07	7.58109317742085e-05	30	0.0859598853868195	TOP2A;GMNN;MKI67;KRT20;HOXA13;RAD51AP1;CCNB1;CHEK1;PBK;E2F1;PRAME;IGF2BP3;CD34;CDKN2B;G6PD;CDKN2C;CDKN2A;PLK1;CDC6;CCNA2;TPX2;MYCN;RAD51;MSH2;CCNE1;FASN;MCM6;EZH2;APOBEC3B;CDKN3
Adenoma	60/1000	2.85398792096287e-07	7.58109317742085e-05	60	0.06	REG1A;PCSK9;BUB1B;BRCA1;FOXM1;MKI67;KRT20;PTTG1;MDK;DNMT3B;NUSAP1;CD34;SPINK1;CKAP2;ACSL4;DKK1;MMP9;ETV4;CDC25A;SFRP4;MSH2;CCNE1;BIRC5;CDH13;MCM2;REG3A;BLM;COL11A1;IGSF1;LAMA3;AFP;TYMS;THBS4;CYP17A1;AURKA;CCNB2;GPC3;KISS1R;BUB1;NQO1;CDKN2B;CDKN2C;CDKN2A;SORT1;UBE2C;IRX3;PLK1;HMGA1;ALOX15B;BCL9;LIN28B;RAD51;AKR1B10;FAP;FASN;LCN2;REN;SLC26A3;EZH2;CDKN3
Malignant neoplasm of stomach	114/2398	3.93121294938623e-07	9.92041587777616e-05	114	0.0475396163469558	CHRM3;REG1A;BUB1B;MSI1;HOXA13;CDC20;HOXA10;PTTG1;CHEK1;PLCE1;OIP5;KPNA2;GTSE1;FADS1;MAGEA3;WDHD1;RNF43;ACSL4;ESCO2;MAPK8IP2;PGC;CDC25A;MELK;MYCN;MSH2;SMO;CCNE1;KIF20A;PRR11;ATP6V0D2;CDCA5;CDCA8;THY1;HMMR;FUT2;SEZ6L2;ACACA;CCNB1;RACGAP1;PODXL;UBD;NEU1;SFN;SMYD3;PLK1;AKR1B10;UBE2T;REN;SERPINI1;EZH2;APOBEC3B;TOP2A;BRCA1;FOXM1;KRT20;ROBO1;ESM1;CHAF1A;MDK;NUF2;DNMT3B;MUC13;CD34;CEP55;MSMB;HELLS;GPR39;ABCC4;RFC3;VWF;CKAP2;MMP9;ETV4;SREBF2;MMP12;CCNA2;MMP11;BIRC5;CDH13;TRIM59;MAPT;DTL;LAMA3;TTK;CAPG;AFP;TYMS;HOXD10;AURKB;CYP17A1;AURKA;CLN3;CST1;E2F1;KISS1R;SPOCK1;IGF2BP3;CTNNA2;BUB1;CTHRC1;NQO1;CDKN2B;RRM2;CDKN2A;CCL20;ODAM;RAD51;CENPH;FAP;MYO1A;SCD;TRIM31;CDKN3;MAD2L1
Retinoblastoma	39/539	4.46569608626747e-07	0.000105064722625579	39	0.0723562152133581	CHRM3;SUV39H1;REG1A;KIF14;THY1;BRCA1;LIN9;FOXM1;MKI67;TYMS;CCNB1;EXO1;CHEK1;E2F1;MYBL2;KPNA2;HELLS;CDKN2B;CDKN2C;CDKN2A;UBE2C;PLK1;CDC25C;MMP9;CDC25A;MMP11;MYCN;MSH2;FAP;CCNE1;FASN;BIRC5;CDH13;TRIM59;EZH2;CDKN3;MCM2;MAD2L1;CDK5R1
