Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Mitotic Spindle Assembly (GO:0090307)	11/47	1.0915757483457e-07	1.11340726331262e-05	11	0.234042553191489	TPX2;RACGAP1;KIFC1;PRC1;KIF4A;CDCA8;BIRC5;KIF23;KIF11;AURKB;KIF15
Double-Strand Break Repair via Break-Induced Replication (GO:0000727)	6/10	1.37438706770759e-07	1.23364983197433e-05	6	0.6	GINS2;GINS4;MCM3;MCM4;CDC7;MCM6
Mitotic Spindle Elongation (GO:0000022)	6/10	1.37438706770759e-07	1.23364983197433e-05	6	0.6	RACGAP1;PRC1;KIF4A;BIRC5;CDCA8;KIF23
Mitotic Spindle Midzone Assembly (GO:0051256)	6/10	1.37438706770759e-07	1.23364983197433e-05	6	0.6	RACGAP1;PRC1;KIF4A;BIRC5;CDCA8;KIF23
Mitotic Chromosome Condensation (GO:0007076)	7/16	1.95263889722636e-07	1.63355459607076e-05	7	0.4375	CDCA5;PLK1;NUSAP1;NCAPG;NCAPD2;SMC4;NCAPH
Cytoskeleton-Dependent Cytokinesis (GO:0061640)	14/84	1.96550686693005e-07	1.63355459607076e-05	14	0.166666666666667	PLK1;CKAP2;CDCA8;KIF23;CENPA;AURKB;ANLN;RACGAP1;KIF4A;NUSAP1;BIRC5;KIF20A;ECT2;CEP55
G2/M Transition of Mitotic Cell Cycle (GO:0000086)	10/40	2.12624182343983e-07	1.70403094707106e-05	10	0.25	CCNA2;CCNB1;MELK;PLK1;BIRC5;FOXM1;CDC25C;PLCB1;CDC25A;AURKA
Regulation of Mitotic Cell Cycle Phase Transition (GO:1901990)	14/88	3.56630351069193e-07	2.75958106137679e-05	14	0.159090909090909	CDKN2B;CDKN2C;CDKN2A;UBE2C;PLK1;KIF14;CDC6;AURKA;ANLN;CENPE;CENPF;UBD;E2F1;KNTC1
Positive Regulation of Chromosome Segregation (GO:0051984)	7/18	5.15376122815615e-07	3.8550133986608e-05	7	0.388888888888889	CCNB1;NCAPG2;NCAPG;NCAPD2;CDC6;SMC4;NCAPH
Regulation of Cytokinesis (GO:0032465)	13/81	8.40408299561243e-07	6.08347169101752e-05	13	0.160493827160494	PLK1;KIF14;KIF23;CDC6;AURKB;AURKA;RACGAP1;PRC1;KIF20A;ECT2;E2F7;RAB11FIP4;E2F8
DNA Replication (GO:0006260)	12/73	1.70556374463733e-06	0.000119602657592693	12	0.164383561643836	FAM111B;WDHD1;FEN1;RFC3;BLM;RFC4;RNASEH2A;MCM8;POLE2;CHEK1;MCM4;MCM6
Chromosome Condensation (GO:0030261)	8/31	2.75030899856012e-06	0.000187021011902088	8	0.258064516129032	TOP2A;CDCA5;PLK1;NUSAP1;NCAPG;NCAPD2;SMC4;NCAPH
Positive Regulation of Mitotic Sister Chromatid Separation (GO:1901970)	6/15	2.87926989983985e-06	0.000187946131343665	6	0.4	CDC20;UBE2C;NSMCE2;CDCA8;BIRC5;AURKB
G1/S Transition of Mitotic Cell Cycle (GO:0000082)	11/64	2.93142361721403e-06	0.000187946131343665	11	0.171875	TRIM71;CCNA2;CCNB2;CCNB1;DBF4;CCNE2;CCNE1;CDC7;BCAT1;CDC25A;CDKN3
Cell Cycle G1/S Phase Transition (GO:0044843)	11/66	4.0099175133826e-06	0.000249951525000849	11	0.166666666666667	TRIM71;CCNA2;CCNB2;CCNB1;DBF4;CCNE2;CCNE1;CDC7;BCAT1;CDC25A;CDKN3
Positive Regulation of G1/S Transition of Mitotic Cell Cycle (GO:1900087)	8/33	4.59009116519086e-06	0.000275703934904605	8	0.242424242424242	MTBP;STIL;RRM2;CCNE2;CCNE1;SASS6;CDC6;PLCB1
Regulation of Protein Serine/Threonine Kinase Activity (GO:0071900)	11/67	4.66878321139705e-06	0.000275703934904605	11	0.164179104477612	BLM;CDKN2B;CDKN2C;CCNE2;THY1;CDC6;CDC25C;CDC25A;CDK5R1;CDKN3;EZH2
DNA-templated DNA Replication (GO:0006261)	10/55	4.88740647470627e-06	0.000281213849467715	10	0.181818181818182	WDHD1;PRIM2;RFC3;RFC4;PRIM1;POLE2;MCM3;MCM4;MCM10;CDC6
Double-Strand Break Repair via Homologous Recombination (GO:0000724)	14/114	8.45805395083031e-06	0.000474496826641581	14	0.12280701754386	GINS2;BLM;FEN1;MCM8;NSMCE2;GINS4;CDC7;BRCA1;RAD51AP1;RAD51;MCM3;MCM4;RAD54L;MCM6
Regulation of Chromosome Separation (GO:1905818)	5/11	9.65808630841362e-06	0.000504173635807846	5	0.454545454545455	NCAPG2;NCAPG;NCAPD2;SMC4;NCAPH
Positive Regulation of DNA-templated DNA Replication (GO:2000105)	5/11	9.65808630841362e-06	0.000504173635807846	5	0.454545454545455	DBF4;CDC7;DBF4B;E2F7;E2F8
Establishment of Chromosome Localization (GO:0051303)	6/18	9.88575756485974e-06	0.000504173635807846	6	0.333333333333333	CENPE;CENPF;GMNN;FAM83D;CENPQ;NDC80
Nuclear Chromosome Segregation (GO:0098813)	6/18	9.88575756485974e-06	0.000504173635807846	6	0.333333333333333	TOP2A;CENPF;GMNN;FAM83D;CENPQ;NDC80
Regulation of Chromosome Segregation (GO:0051983)	7/27	1.13579879284683e-05	0.000554658282130233	7	0.259259259259259	NCAPG2;NCAPG;NCAPD2;CDC6;SMC4;BUB1;NCAPH
Regulation of G2/M Transition of Mitotic Cell Cycle (GO:0010389)	8/37	1.14783673903832e-05	0.000554658282130233	8	0.216216216216216	CCNB1;CENPF;KIF14;CDC7;DBF4B;CDC25C;DTL;CDC25A
Positive Regulation of Spindle Assembly (GO:1905832)	4/6	1.16171743583427e-05	0.000554658282130233	4	0.666666666666667	GPSM2;STIL;SPAG5;SASS6
Interstrand Cross-Link Repair (GO:0036297)	8/39	1.73468009129349e-05	0.000810962942679709	8	0.205128205128205	RAD51AP1;FANCI;NEIL3;RAD51;MCM8;FANCD2;FANCE;FANCG
Regulation of Mitotic Cell Cycle Spindle Assembly Checkpoint (GO:0090266)	6/20	1.96061183928089e-05	0.00086266920928359	6	0.3	CCNB1;CDCA8;BIRC5;AURKB;NDC80;MAD2L1
Regulation of Spindle Organization (GO:0090224)	6/20	1.96061183928089e-05	0.00086266920928359	6	0.3	GPSM2;TPX2;STIL;PSRC1;SASS6;TACC3
Positive Regulation of G2/M Transition of Mitotic Cell Cycle (GO:0010971)	6/20	1.96061183928089e-05	0.00086266920928359	6	0.3	CCNB1;CDC7;DBF4B;CDC25C;DTL;CDC25A
Regulation of Attachment of Spindle Microtubules to Kinetochore (GO:0051988)	5/13	2.55886554323624e-05	0.0010995480685202	5	0.384615384615385	SPAG5;RACGAP1;KNTC1;NEK2;ECT2
Positive Regulation of Chromosome Condensation (GO:1905821)	4/7	2.64597128788285e-05	0.0010995480685202	4	0.571428571428571	NCAPG2;NCAPG;SMC4;NCAPH
Regulation of Chromosome Condensation (GO:0060623)	4/7	2.64597128788285e-05	0.0010995480685202	4	0.571428571428571	NCAPG2;NCAPG;SMC4;NCAPH
Positive Regulation of Cell Cycle G1/S Phase Transition (GO:1902808)	8/44	4.37749669545933e-05	0.0017860186517474	8	0.181818181818182	STIL;RRM2;CCNE2;CCNE1;SASS6;FAM83D;PLCB1;EZH2
Positive Regulation of Cell Cycle G2/M Phase Transition (GO:1902751)	6/23	4.72770830744648e-05	0.00189446025748391	6	0.260869565217391	CCNB1;CDC7;DBF4B;CDC25C;DTL;CDC25A
Regulation of Mitotic Nuclear Division (GO:0007088)	9/58	5.45436561776039e-05	0.00214729762214988	9	0.155172413793103	CCNB1;CDCA2;CHEK1;NUSAP1;NEK2;MKI67;CDC25C;FBXO43;AURKA
Positive Regulation of Chromosome Organization (GO:2001252)	8/47	7.17458386994015e-05	0.00277582175933546	8	0.170212765957447	FEN1;NCAPG2;NCAPG;NEK2;NCAPD2;SMC4;AURKB;NCAPH
DNA Damage Response (GO:0006974)	28/421	8.36382265216054e-05	0.00318108780194038	28	0.0665083135391924	TOP2A;BLM;FEN1;ERCC6L;MCM8;SUV39H1;MCM10;BRCA1;TTF2;RAD51AP1;BRIP1;EXO1;CHEK1;E2F1;RAD54L;WDHD1;RFC3;RFC4;WDR76;FANCG;TRAIP;RAD51;MSH2;UBE2T;POLE2;MAPT;DTL;RBM24
Regulation of Mitotic Cell Cycle (GO:0007346)	13/124	9.4409324531708e-05	0.00353090873748588	13	0.104838709677419	CDCA2;GMNN;PLK1;MKI67;CDC25C;FBXO43;AURKA;CDC20;CCNB1;UBD;BIRC5;NEK2;MAD2L1
Regulation of Ubiquitin Protein Ligase Activity (GO:1904666)	5/17	0.000111314369149167	0.00409490892411034	5	0.294117647058824	CDC20;CDKN2A;UBE2C;PLK1;MAD2L1
Regulation of G1/S Transition of Mitotic Cell Cycle (GO:2000045)	12/111	0.000129671145401989	0.00469325887551715	12	0.108108108108108	STIL;CDKN2B;CDKN2C;RRM2;CCNE2;CCNE1;CDKN2A;SASS6;KIF14;E2F1;PLCB1;E2F7
Mitotic DNA Replication (GO:1902969)	4/10	0.000147679154977907	0.00517800037141287	4	0.4	MCM3;MCM4;MCM6;TK1
Positive Regulation of Mitotic Cell Cycle Spindle Assembly Checkpoint (GO:0090267)	4/10	0.000147679154977907	0.00517800037141287	4	0.4	BIRC5;CDCA8;NDC80;MAD2L1
Positive Regulation of Cytokinesis (GO:0032467)	7/40	0.000169841566645389	0.00586345347003465	7	0.175	RACGAP1;KIF14;CDCA8;BIRC5;KIF23;CDC6;ECT2
Regulation of Nuclear Division (GO:0051783)	5/19	0.000198984582624533	0.00668339692900885	5	0.263157894736842	CDCA2;NEK2;CDC25C;FBXO43;MKI67
Regulation of Mitotic Spindle Organization (GO:0060236)	7/41	0.00019954883878948	0.00668339692900885	7	0.170731707317073	GPSM2;TPX2;STIL;PSRC1;PLK1;SASS6;TACC3
Kinetochore Organization (GO:0051383)	4/11	0.000226548958836263	0.00726251233755105	4	0.363636363636364	CENPE;CENPF;CENPH;NUF2
Positive Regulation of Mitotic Cytokinesis (GO:1903490)	4/11	0.000226548958836263	0.00726251233755105	4	0.363636363636364	BIRC5;CDCA8;ECT2;AURKB
Positive Regulation of Spindle Checkpoint (GO:0090232)	4/11	0.000226548958836263	0.00726251233755105	4	0.363636363636364	BIRC5;CDCA8;NDC80;MAD2L1
DNA Replication-Dependent Chromatin Assembly (GO:0006335)	3/5	0.000259335325725966	0.0080826176517926	3	0.6	CHAF1B;CHAF1A;ASF1B
Positive Regulation of Nuclear Cell Cycle DNA Replication (GO:0010571)	3/5	0.000259335325725966	0.0080826176517926	3	0.6	DBF4;CDC7;DBF4B
DNA Recombination (GO:0006310)	7/43	0.000271526785047669	0.00834665898146534	7	0.162790697674419	BLM;BRIP1;RAD51;MSH2;EXO1;RAD54L;BRCA1
DNA Replication Initiation (GO:0006270)	5/21	0.000331286158460038	0.00954421839880496	5	0.238095238095238	PRIM2;PRIM1;MCM3;MCM10;CDC6
