Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
STAPHYLOCOCCUS AUREUS INFECTION	13/95	0.00154891888372529	0.0150198194785483	13	0.136842105263158	C1QB;C1QA;FPR1;DEFA3;DEFB1;KRT19;FCGR3B;DSG1;MASP2;MASP1;FCGR2B;MBL2;C1QC
AGE-RAGE SIGNALING PATHWAY IN DIABETIC COMPLICATIONS	13/100	0.00247257184698238	0.0232712644421871	13	0.13	EGR1;TGFB3;MMP2;SERPINE1;CYBB;SELE;F3;THBD;IL6;COL4A4;IL1B;AGTR1;CCL2
VIRION - EBOLAVIRUS, LYSSAVIRUS AND MORBILLIVIRUS	4/12	0.00280443941821188	0.0256405889665086	4	0.333333333333333	NGFR;CLEC4M;NCAM1;FCGR2B
CHEMOKINE SIGNALING PATHWAY	20/191	0.0030348256274759	0.0269762277997857	20	0.104712041884817	CCR1;CCL14;CXCL6;ITK;CCL23;CCL21;CCL4L2;CXCL1;PPBP;CXCR6;CXCL14;CXCL2;TIAM1;HCK;CXCL12;CCL5;CCL4;CCL3;CCL2;CCL19
NF-KAPPA B SIGNALING PATHWAY	13/104	0.00350072419990266	0.0299420765901012	13	0.125	GADD45B;BCL2A1;CCL21;CCL4L2;CXCL1;PTGS2;CXCL2;GADD45G;CXCL12;IL1B;CCL4;CCL19;TLR4
VALINE, LEUCINE AND ISOLEUCINE DEGRADATION	8/48	0.00355562159507452	0.0299420765901012	8	0.166666666666667	ALDH6A1;AGXT2;LDHD;BCKDHB;AOX1;ACAA1;HMGCLL1;ACADS
EFFEROCYTOSIS	17/157	0.00427505232843775	0.0350773524384636	17	0.10828025477707	CAMK2B;C1QB;P2RY12;DUSP5;C1QA;DUSP2;PTGER2;SIGLEC10;STAB2;TIMD4;PTGS2;THBS1;PBX1;CH25H;AXL;STAB1;C1QC
PI3K-AKT SIGNALING PATHWAY	31/355	0.00485075743874479	0.0382561995974956	31	0.0873239436619718	CSF1R;LAMA2;LAMC3;TGFA;AREG;THBS1;GYS2;GHR;RELN;TNN;MYC;NTF3;ITGB8;PCK1;FGF23;NGFR;PDGFRA;NTRK2;IGF2;IGF1;EREG;NR4A1;IL6;COL4A4;IL2RB;TEK;IL7R;TLR4;FGFR2;EPHA2;ITGA9
LIPID AND ATHEROSCLEROSIS	21/214	0.00519477557080976	0.0382561995974956	21	0.0981308411214953	CYP2J2;CAMK2B;IL18;CYBB;CXCL1;APOA4;FOS;SELE;CXCL2;CYP2C9;CYP2A7;CYP2C8;IL6;CYP2A6;CYP2B6;IL1B;CCL5;CYP1A1;CCL3;CCL2;TLR4
CHOLESTEROL METABOLISM	8/51	0.00521472976568466	0.0382561995974956	8	0.156862745098039	CETP;ANGPTL3;LCAT;CIDEB;APOA4;ANGPTL4;LPA;PLTP
HISTIDINE METABOLISM	5/22	0.00522773816768481	0.0382561995974956	5	0.227272727272727	HAL;UROC1;ASPA;CNDP1;FTCD
BETA-ALANINE METABOLISM	6/31	0.00526022744465564	0.0382561995974956	6	0.193548387096774	ALDH6A1;MLYCD;CSAD;ACADS;UPB1;CNDP1
