Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Hepatoma, Novikoff	14/119	0.00435995849584876	0.0267647755712207	14	0.117647058823529	HGF;GSTP1;NR1I3;TGFA;APOA4;CYP2A7;CYP2C8;IL6;CYP2A6;CA3;MYC;CYP1A2;CYP2E1;TEK
Von Hippel-Lindau Syndrome	14/119	0.00435995849584876	0.0267647755712207	14	0.117647058823529	SDS;EPO;SERPINE1;TGFA;IGF1;PTGS2;AR;CXCL12;MYC;SARDH;RARB;KLRD1;ANGPTL4;PROM1
Bartter Disease	6/30	0.00443851516854672	0.0269576716010806	6	0.2	KCNJ10;KCNA3;AGTR1;CLC;SHBG;EPHA3
Christ-Siemens-Touraine syndrome	6/30	0.00443851516854672	0.0269576716010806	6	0.2	KRT19;NR4A3;HAND2;CD38;FAS;PTGS2
Recurrent aphthous ulcer	6/30	0.00443851516854672	0.0269576716010806	6	0.2	CCR1;ITK;IL6;IL1B;FAS;TLR4
Stomach Diseases	6/30	0.00443851516854672	0.0269576716010806	6	0.2	CYP2C9;HGF;SERPINE1;PTGS2;TLR4;S100A8
Tobacco Dependence	6/30	0.00443851516854672	0.0269576716010806	6	0.2	CYP2A6;IL6;CYP2B6;CHRNA4;CYP2E1;TLR4
Acute urticaria	3/7	0.00448278884917659	0.0269576716010806	3	0.428571428571429	IL6;TBXA2R;IL18
Adnexal mass	3/7	0.00448278884917659	0.0269576716010806	3	0.428571428571429	CRP;ESR1;F3
Bacterial keratitis	3/7	0.00448278884917659	0.0269576716010806	3	0.428571428571429	IL6;IL1B;S100A8
Carcinoma of Endocrine Gland	3/7	0.00448278884917659	0.0269576716010806	3	0.428571428571429	AR;IGF2;ESR1
Chemical Burns	3/7	0.00448278884917659	0.0269576716010806	3	0.428571428571429	IL6;IL1B;FGFR2
Coumarin Resistance	3/7	0.00448278884917659	0.0269576716010806	3	0.428571428571429	CYP2C9;CYP2A6;F9
Excessive sputum secretion	3/7	0.00448278884917659	0.0269576716010806	3	0.428571428571429	HLA-DPB1;PTPN22;DNASE1L3
